class name,fields name,field value,field name 2,second value
DC_researchevent_special_analysis,name,soil analysis: soil micromorphology,,
DC_researchevent_special_analysis,name,soil analysis: soil phosphorus analysis,,
DC_researchevent_researchtype,name,borehole survey,,
DC_researchevent_researchtype,name,excavation: rescue,,
DC_researchevent_researchtype,name,excavation: research,,
DC_researchevent_researchtype,name,excavation: underwater,,
DC_researchevent_researchtype,name,excavation: undetermined,,
DC_researchevent_researchtype,name,field observation (monitoring),,
DC_researchevent_researchtype,name,metal detecting use,,
DC_researchevent_researchtype,name,test pit,,
DC_researchevent_researchtype,name,trial trench,,
DC_researchevent_researchtype,name,underwater evaluation,,
DC_researchevent_researchtype,name,field walking survey: undetermined,,
DC_researchevent_researchtype,name,aerial photograph interpretation,,
DC_researchevent_researchtype,name,antiquarian observation,,
DC_researchevent_researchtype,name,architectural survey,,
DC_researchevent_researchtype,name,field walking survey: non-systematic,,
DC_researchevent_researchtype,name,field walking survey: systematic,,
DC_researchevent_researchtype,name,geophysical survey: magnetic,,
DC_researchevent_researchtype,name,geophysical survey: radar,,
DC_researchevent_researchtype,name,laser scanning survey,,
DC_researchevent_researchtype,name,metal detecting survey,,
DC_researchevent_researchtype,name,remote sensing lidar survey,,
DC_researchevent_researchtype,name,satellite imaging,,
DC_researchevent_researchtype,name,underwater survey,,
DC_researchevent_institution,name,ÖAW - OREA - Ägäis/Anatolien,,
DC_researchevent_institution,name,ÖAW - OREA - Ägypten/Levante,,
DC_researchevent_institution,name,ÖAW - OREA - Europa,,
DC_researchevent_institution,name,Österreichisches Archäologisches Institut - Zweigstelle Wien,,
DC_researchevent_institution,name,Österreichisches Archäologisches Institut - Zweigstelle Athen,,
DC_researchevent_institution,name,Österreichisches Archäologisches Institut - Zweigstelle Kairo,,
DC_researchevent_institution,name,Accademia Etrusca,,
DC_researchevent_institution,name,Altertumsgesellschaft Prussia,,
DC_researchevent_institution,name,American Academy in Rome,,
DC_researchevent_institution,name,American School of Classical Studies at Athens,,
DC_researchevent_institution,name,Archaeological Institute of America,,
DC_researchevent_institution,name,Archaeological Scociety of British Columbia,,
DC_researchevent_institution,name,Archaeolical Survey of India,,
DC_researchevent_institution,name,Archäologie Schweiz,,
DC_researchevent_institution,name,Archäologische Gesellschaft Schleswig-Holstein,,
DC_researchevent_institution,name,Archäologische Gesellschaft Athen,,
DC_researchevent_institution,name,Archäologische Gesellschaft der Hansestadt Lübeck,,
DC_researchevent_institution,name,Archäologische Gesellschaft in Berlin und Brandenburg,,
DC_researchevent_institution,name,Archäologische Gesellschaft in Hessen,,
DC_researchevent_institution,name,Archäologische Gesellschaft in Sachsen,,
DC_researchevent_institution,name,Archäologische Gesellschaft Innsbruck,,
DC_researchevent_institution,name,Archäologische Gesellschaft zu Berlin,,
DC_researchevent_institution,name,Archäologische Kommission für Niedersachsen,,
DC_researchevent_institution,name,Archäologischer Arbeitskreis Niedersachsen,,
DC_researchevent_institution,name,Archäologischer Verein im Landkreis Freising,,
DC_researchevent_institution,name,Archäologisches Institut der Chinesischen Akademi der Sozialwissenschaften,,
DC_researchevent_institution,name,Archäologisches Institut der Universität Göttingen,,
DC_researchevent_institution,name,Archäologisches Institut Prag,,
DC_researchevent_institution,name,Archäologisches Landesamt Schleswig-Holstein,,
DC_researchevent_institution,name,Archäologisches Spessartprojekt,,
DC_researchevent_institution,name,Associazione Internationale de Archeologia Classica,,
DC_researchevent_institution,name,Außenstelle Olpe der LWL-Archäologie für Westfalen,,
DC_researchevent_institution,name,Australian Archaeological Institute at Athens,,
DC_researchevent_institution,name,Ayutthaya Historical Study Center,,
DC_researchevent_institution,name,Bayrisches Landesamt für Denkmalpflege,,
DC_researchevent_institution,name,Beazley Archive,,
DC_researchevent_institution,name,Belgische School te Athene,,
DC_researchevent_institution,name,Biblisch-Archäologisches Institut Wuppertal,,
DC_researchevent_institution,name,Brandenburgisches Landesamt für Denkmalpflege und Archäologisches Landesmuseum,,
DC_researchevent_institution,name,British School at Athens,,
DC_researchevent_institution,name,British School at Rome,,
DC_researchevent_institution,name,Bundesdenkmalamt - Österreich,,
DC_researchevent_institution,name,Burgenfreunde beider Basel,,
DC_researchevent_institution,name,Cadw,,
DC_researchevent_institution,name,Canadian Institute in Greece,,
DC_researchevent_institution,name,AG CAA,,
DC_researchevent_institution,name,Corpus der minoischen und mykenischen Siegel,,
DC_researchevent_institution,name,Curt-Engelhorn-Zentrum Archäometrie,,
DC_researchevent_institution,name,Dachverband archäologischer Studierendenvertretungen,,
DC_researchevent_institution,name,Danske Institut i Athen (DIA),,
DC_researchevent_institution,name,Denkmalamt der Proviz Ostpreußen,,
DC_researchevent_institution,name,Denkmalbehörde,,
DC_researchevent_institution,name,Denkmalschutzamt Hamburg,,
DC_researchevent_institution,name,Deutsche Gesellschaft für Archäologie des Mittelalters und der Neuzeit,,
DC_researchevent_institution,name,Deutsche Gesellschaft für Ur- und Frühgeschichte,,
DC_researchevent_institution,name,Deutsche Gesellschaft für Vorgeschichte,,
DC_researchevent_institution,name,Deutsche Limeskommission,,
DC_researchevent_institution,name,Deutsche Orient-Gesellschaft,,
DC_researchevent_institution,name,Deutsche Verbände für Altertumsforschung,,
DC_researchevent_institution,name,Deutscher Verband für Archäologie,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Zentrale Berlin,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Abteilung Rom,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Abteilung Athen,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Römisch-Germanische Kommission (RGK),,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Abteilung Kairo,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Abteilung Istanbul,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Kommission für Alte Geschichte und Epigraphik,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Orientabteilung,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Kommission für Archäologie Außereuropäischer Kulturen,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Euraisienabteilung,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Forschungsstelle Jerusalem,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut (DAI) - Forschungsstelle Amman,,
DC_researchevent_institution,name,Deutsches Archäologisches Institut Madrid,,
DC_researchevent_institution,name,Deutsches Evangelisches Institut für Altertumswissenschaft des Heiligen Landes,,
DC_researchevent_institution,name,Disney Professor of Archaeology,,
DC_researchevent_institution,name,Egypt Exploration Society,,
DC_researchevent_institution,name,English Heritage,,
DC_researchevent_institution,name,Ephoria Kavala,,
DC_researchevent_institution,name,Europae Archaeologiae Consilium,,
DC_researchevent_institution,name,European Association of Archaeologists,,
DC_researchevent_institution,name,EXAR - Europäische Vereinigung zur Förderung der Experimentellen Archäologie e.V.,,
DC_researchevent_institution,name,Forschungsstelle Asia Minor,,
DC_researchevent_institution,name,Freunde der Antike auf der Museumsinsel Berlin,,
DC_researchevent_institution,name,Georgisches Institut in Athen,,
DC_researchevent_institution,name,Gesellschaft für Archäologie in Würtemberg und Hohenzollern,,
DC_researchevent_institution,name,Gesellschaft für nützliche Forschungen zu Trier,,
DC_researchevent_institution,name,Historic Scotland,,
DC_researchevent_institution,name,Hugo Obermaier Gesellschaft,,
DC_researchevent_institution,name,Institut Européen d'Archéologie Sous-Marine,,
DC_researchevent_institution,name,Institut française d'archéologie orientale,,
DC_researchevent_institution,name,Institutum Romanum Finlandiae,,
DC_researchevent_institution,name,Irish Institute of Hellenic Studies at Athens,,
DC_researchevent_institution,name,Israel Antiquities Authority,,
DC_researchevent_institution,name,Instituto Nazionale de Studi Estruschi ad Italici,,
DC_researchevent_institution,name,Landesamt für Archäologie Sachsen,,
DC_researchevent_institution,name,Landesamt für Denkmalpflege Baden-Würtemberg,,
DC_researchevent_institution,name,Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt,,
DC_researchevent_institution,name,Landesamt für Kultur und Denkmalpflege Mecklenburg-Vorpommern,,
DC_researchevent_institution,name,Landesarchäologie Bremen,,
DC_researchevent_institution,name,Landesdenkmalamt Berlin,,
DC_researchevent_institution,name,Landesverband selbstständiger Archäologen in Bayern,,
DC_researchevent_institution,name,Lincoln Professor of Classical Archaeology and Art,,
DC_researchevent_institution,name,Lippisches Landesmuseum,,
DC_researchevent_institution,name,LVR-Amt für Bodendenkmalpflege in Rheinland,,
DC_researchevent_institution,name,LWL-Archäologie für Westfalen,,
DC_researchevent_institution,name,Monrepos (Forschungszentrum),,
DC_researchevent_institution,name,ÖAW - Mykenische Kommission (heute Abt. Ägäis/Anatolien und OREA),,
DC_researchevent_institution,name,National Underwater and Marine Agency,,
DC_researchevent_institution,name,Nationales Forschungszentrum für Archäologie,,
DC_researchevent_institution,name,Nederlands Instituut in Athene,,
DC_researchevent_institution,name,Nordeuropäisches Symposium für Archäologische Textilien (NESAT),,
DC_researchevent_institution,name,Niedersächsischer Landesverein für Urgeschichte,,
DC_researchevent_institution,name,Niedersächsisches Institut für historische Küstenforschung,,
DC_researchevent_institution,name,Niedersächsisches Landesamt für Denkmalpflege,,
DC_researchevent_institution,name,Nordic Library at Athens,,
DC_researchevent_institution,name,Norske Institutt i Athen (NIA),,
DC_researchevent_institution,name,Ontario Archaeoligcal Society ,,
DC_researchevent_institution,name,Österreichischer Archäologie-Bund,,
DC_researchevent_institution,name,Pontificio Instituto di Archaeologia Cristiana,,
DC_researchevent_institution,name,Polish Centre of Mediterranean Archaeology,,
DC_researchevent_institution,name,Pontificia Accademia Romana di Archaeologia,,
DC_researchevent_institution,name,Reichs-Limeskommission,,
DC_researchevent_institution,name,Römische Hyperboreer,,
DC_researchevent_institution,name,Römisch-Germanische Kommission,,
DC_researchevent_institution,name,Schweizerische Arbeitsgemeinschaft für Archäologie des Mittelalters und der Neuzeit,,
DC_researchevent_institution,name,Schweizerische Archäologische Schule in Griechenland,,
DC_researchevent_institution,name,Scuola Archeologica Italiana di Atene,,
DC_researchevent_institution,name,Société préhistorique luxembourgeoise,,
DC_researchevent_institution,name,Stiftung Archäologie - Deutschland - München,,
DC_researchevent_institution,name,Suomen Ateenan-instituutti,,
DC_researchevent_institution,name,Svenska Institutet i Athen,,
DC_researchevent_institution,name,Svenska Institutet i Rom,,
DC_researchevent_institution,name,Underwater Archaeological Society of British Columbia,,
DC_researchevent_institution,name,Verband der Landesarchäologen in der Bundesrepublik Deutschland e.V. (VLA),,
DC_researchevent_institution,name,Verband der Restauratoren,,
DC_researchevent_institution,name,Verbund archäologischer Institutionen in Köln Bonn,,
DC_researchevent_institution,name,Verein zur Föderung des Ägyptischen Museums Berlin,,
DC_researchevent_institution,name,Vorderasiatisch-Ägyptische Gesellschaft,,
DC_researchevent_institution,name,Winckelmann-Gesellschaft,,
DC_researchevent_institution,name,Yates Professor of Classical Art and Archaeology ,,
DC_researchevent_institution,name,Zentralinstitut für Alte Geschichte und Archäologie (ZIAGA 1969 - 1992),,
DC_researchevent_institution,name,Akademie der Wissenschaften der DDR (AdW 1972 - 1991),,
DC_researchevent_institution,name,Deutsche Akademie der Wissenschaften der DDR (DAW 1946 - 1972),,
DC_researchevent_institution,name,Universität Wien - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität Wien - Institut für Klassische Archäologie - Abteilung für Frühchritliche Archäologie,,
DC_researchevent_institution,name,Universität Wien - Institut für Urgeschichte und Historische Archäologie (ehm. Institut für Ur- und Frühgeschichte),,
DC_researchevent_institution,name,Universität Wien - Institut für Alttestamentliche Wissenschaft und Biblische Archäologie der Evangelisch-Theologischen Fakultät,,
DC_researchevent_institution,name,"Universität Wien - Institut für Kirchengeschichte, Christliche Archäologie und Kirchliche Kunst",,
DC_researchevent_institution,name,Universität Wien - Institut für Altsemitische Philiologie und Orientalische Archäologie,,
DC_researchevent_institution,name,Universität Wien - Institut für Alte Geschichte und Altertumskunde,,
DC_researchevent_institution,name,Universität Wien - Institut für Ägyptologie,,
DC_researchevent_institution,name,Universität Wien - Institut für Byzantinistik und Neogräzistik,,
DC_researchevent_institution,name,Universität Wien - Vienna Institute for Archaeological Science (VIAS),,
DC_researchevent_institution,name,Universität Salzburg - Institut fürAlte Geschichte und Altertumskunde,,
DC_researchevent_institution,name,Universität Salzburg - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität Graz - Institut für Alte Geschichte und Altertumskunde,,
DC_researchevent_institution,name,Universität Graz - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,"Universität Innsbruck - Institut für Archäologien - Ur- und Frühgeschichte, Mittelalter- und Neuzeitarchäologie",,
DC_researchevent_institution,name,Universität Innsbruck - Institut für Archäologien - Klassische und Provinzialrömische Archäologie,,
DC_researchevent_institution,name,Universität Innsbruck - Institut für Alte Geschichte und Altorientalistik,,
DC_researchevent_institution,name,Universität Berlin - Institut für Archäologie - Bereich Klassische Archäologie,,
DC_researchevent_institution,name,Universität Berlin - Institut für Prähistorische Archäologie,,
DC_researchevent_institution,name,Universität Berlin - Institut für Archäologie - Archäologie und Kulturgeschichte Nordostafrikas,,
DC_researchevent_institution,name,Universität Bern - Insitut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität Bern - Institut für Ur- und Frühgeschichte und Archäologie der Römischen Provinzen,,
DC_researchevent_institution,name,Ruhr-Universität Bochum - Institut für Archäometrie,,
DC_researchevent_institution,name,Ruhr-Universität Bochum - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Ruhr-Universität Bochum - Institut für Ur- und Frühgeschichte,,
DC_researchevent_institution,name,Universität Bonn - Institut für Kunstgeschichte und Archäologie,,
DC_researchevent_institution,name,Universität Bonn - Institut für Vor- und Frühgeschichtliche Archäologie,,
