FabricID,InclusionID,InclType,InclColour,InclForm,InclParticleSize,InclFrequency,InclHardness,realInclusionID
65,3,Black,5YR 2.5/1,Spherical,"0,1 cm","7,5%",Medium,248
69,3,White,5YR 8/1,Spherical,"0,1 cm","2,5%",Hard,249
26,3,White,5YR 8/1,Spherical,"0,1 cm","1,5%",Hard,250
31,3,White,5YR 8/1,Spherical,"0,05 cm",1%,Hard,251
66,3,Pink,5YR 7/6,Spherical,"0,1 cm",2%,Hard,252
27,3,White,5YR 8/1,Spherical,"0,1 cm","2,5%",Hard,253
29,3,Black,5YR 2.5/1,Spherical,"0,05 cm",1%,Medium,254
28,3,Black,5YR 2.5/1,Spherical,"0,05 cm","1,5%",Medium,255
67,3,Mica,Silver,Spherical,"0,03 cm",1%,Hard,256
68,3,White,5YR 8/1,Spherical,"0,05 cm","2,5%",Hard,257
68,4,Mica,Gold,Spherical,"0,03 cm",1%,Hard,258
75,4,Red,2.5YR 4/6,Spherical,"0,1 cm",4%,Hard,259
44,4,Black,5YR 2.5/1,Spherical,"0,1 cm",4%,Medium,260
8,4,Mica,Silver,Spherical,"0,03 cm",1%,Hard,261
23,4,Black,10YR 8/1,Spherical,"0,1 cm","2,5%",Medium,262
56,4,Yellowish red,5YR 5/8,Spherical,"0,1 cm",2%,Medium,263
74,4,Mica,Gold,Spherical,"0,03 cm",>1%,Hard,264
67,4,Red,2.5YR 5/8,Spherical,"0,1-0,05 cm","2,5%",Hard,265
24,4,Yellow,10YR 8/6,Spherical,"0,1 cm",1%,Medium,266
6,4,Very dark grey,5YR 3/1,Spherical,"0,05 cm",1%,Hard,267
37,4,Yellowish red,5YR 5/6,Moderate oblong,"0,1 cm",2%,Medium,268
39,4,White,5YR (71,Moderate oblong,"0,1 cm",4%,Hard,269
79,4,Dark gray,10YR 4/1,Spherical,"0,1 cm",15%,Hard,270
3,4,Pink,5YR 8/3,Spherical,"0,1 cm",1%,Hard,271
4,4,Mica,Gold,Spherical,"0,03 cm",1%,Hard,272
24,5,Mica,Silver,Spherical,"0,03 cm",1%,Hard,273
67,5,Reddish yellow,5YR 7/6,Spherical,"0,1 cm",5%,Medium,274
